Timeline,filters,Count
"2017-03-12 06:00",PhEDEx,229
"2017-03-12 06:00",LCGAdmin,306
"2017-03-12 06:00",LIGO,8
"2017-03-12 06:00",Others,0
"2017-03-12 07:00",CMSProd,"2,949"
"2017-03-12 07:00",CMSPool,"5,882"
"2017-03-12 07:00",PhEDEx,305
"2017-03-12 07:00",LCGAdmin,325
"2017-03-12 07:00",LIGO,8
"2017-03-12 07:00",Others,0
"2017-03-12 08:00",CMSProd,"2,757"
"2017-03-12 08:00",CMSPool,"1,691"
"2017-03-12 08:00",PhEDEx,330
"2017-03-12 08:00",LCGAdmin,308
"2017-03-12 08:00",LIGO,8
"2017-03-12 08:00",Others,0
"2017-03-12 09:00",CMSProd,"2,857"
"2017-03-12 09:00",CMSPool,"3,956"
"2017-03-12 09:00",PhEDEx,185
"2017-03-12 09:00",LCGAdmin,277
"2017-03-12 09:00",LIGO,8
"2017-03-12 09:00",Others,0
"2017-03-12 10:00",CMSProd,"3,155"
"2017-03-12 10:00",CMSPool,"4,345"
"2017-03-12 10:00",PhEDEx,325
"2017-03-12 10:00",LCGAdmin,339
"2017-03-12 10:00",LIGO,0
"2017-03-12 10:00",Others,0
"2017-03-12 11:00",CMSProd,"3,335"
"2017-03-12 11:00",CMSPool,"5,931"
"2017-03-12 11:00",PhEDEx,250
"2017-03-12 11:00",LCGAdmin,323
"2017-03-12 11:00",LIGO,8
"2017-03-12 11:00",Others,0
"2017-03-12 12:00",CMSProd,"3,337"
"2017-03-12 12:00",CMSPool,"8,069"
"2017-03-12 12:00",PhEDEx,331
"2017-03-12 12:00",LCGAdmin,329
"2017-03-12 12:00",LIGO,8
"2017-03-12 12:00",Others,0
"2017-03-12 13:00",CMSProd,"3,187"
"2017-03-12 13:00",CMSPool,"9,195"
"2017-03-12 13:00",PhEDEx,335
"2017-03-12 13:00",LCGAdmin,330
"2017-03-12 13:00",LIGO,8
"2017-03-12 13:00",Others,0
"2017-03-12 14:00",CMSProd,"3,678"
"2017-03-12 14:00",CMSPool,"3,935"
"2017-03-12 14:00",PhEDEx,253
"2017-03-12 14:00",LCGAdmin,340
"2017-03-12 14:00",LIGO,8
"2017-03-12 14:00",Others,0
"2017-03-12 15:00",CMSProd,"3,017"
"2017-03-12 15:00",CMSPool,"7,612"
"2017-03-12 15:00",PhEDEx,255
"2017-03-12 15:00",LCGAdmin,341
"2017-03-12 15:00",LIGO,8
"2017-03-12 15:00",Others,0
"2017-03-12 16:00",CMSProd,"2,264"
"2017-03-12 16:00",CMSPool,"6,354"
"2017-03-12 16:00",PhEDEx,268
"2017-03-12 16:00",LCGAdmin,327
"2017-03-12 16:00",LIGO,4
"2017-03-12 16:00",Others,0
"2017-03-12 17:00",CMSProd,"2,008"
"2017-03-12 17:00",CMSPool,"2,722"
"2017-03-12 17:00",PhEDEx,301
"2017-03-12 17:00",LCGAdmin,323
"2017-03-12 17:00",LIGO,131
"2017-03-12 17:00",Others,0
"2017-03-12 18:00",CMSProd,"1,963"
"2017-03-12 18:00",CMSPool,"2,158"
"2017-03-12 18:00",PhEDEx,234
"2017-03-12 18:00",LCGAdmin,312
"2017-03-12 18:00",LIGO,240
"2017-03-12 18:00",Others,0
"2017-03-12 19:00",CMSProd,"1,622"
"2017-03-12 19:00",CMSPool,"3,399"
"2017-03-12 19:00",PhEDEx,232
"2017-03-12 19:00",LCGAdmin,330
"2017-03-12 19:00",LIGO,42
"2017-03-12 19:00",Others,0
"2017-03-12 20:00",CMSProd,"1,521"
"2017-03-12 20:00",CMSPool,"1,288"
"2017-03-12 20:00",PhEDEx,268
"2017-03-12 20:00",LCGAdmin,332
"2017-03-12 20:00",LIGO,8
"2017-03-12 20:00",Others,0
"2017-03-12 21:00",CMSProd,"1,131"
"2017-03-12 21:00",CMSPool,"2,112"
"2017-03-12 21:00",PhEDEx,226
"2017-03-12 21:00",LCGAdmin,338
"2017-03-12 21:00",LIGO,4
"2017-03-12 21:00",Others,0
"2017-03-12 22:00",CMSProd,"7,121"
"2017-03-12 22:00",CMSPool,"6,033"
"2017-03-12 22:00",PhEDEx,225
"2017-03-12 22:00",LCGAdmin,310
"2017-03-12 22:00",LIGO,12
"2017-03-12 22:00",Others,0
"2017-03-12 23:00",CMSProd,"3,394"
"2017-03-12 23:00",CMSPool,"2,891"
"2017-03-12 23:00",PhEDEx,281
"2017-03-12 23:00",LCGAdmin,300
"2017-03-12 23:00",LIGO,8
"2017-03-12 23:00",Others,0
"2017-03-13 00:00",CMSProd,"7,906"
"2017-03-13 00:00",CMSPool,"3,977"
"2017-03-13 00:00",PhEDEx,583
"2017-03-13 00:00",LCGAdmin,335
"2017-03-13 00:00",LIGO,8
"2017-03-13 00:00",Others,0
"2017-03-13 01:00",CMSProd,"4,995"
"2017-03-13 01:00",CMSPool,"6,160"
"2017-03-13 01:00",PhEDEx,283
"2017-03-13 01:00",LCGAdmin,333
"2017-03-13 01:00",LIGO,4
"2017-03-13 01:00",Others,0
"2017-03-13 02:00",CMSProd,"3,098"
"2017-03-13 02:00",CMSPool,"3,139"
"2017-03-13 02:00",PhEDEx,271
"2017-03-13 02:00",LCGAdmin,287
"2017-03-13 02:00",LIGO,12
"2017-03-13 02:00",Others,0
"2017-03-13 03:00",CMSProd,"3,718"
"2017-03-13 03:00",CMSPool,808
"2017-03-13 03:00",PhEDEx,387
"2017-03-13 03:00",LCGAdmin,313
"2017-03-13 03:00",LIGO,0
"2017-03-13 03:00",Others,0
"2017-03-13 04:00",CMSProd,"3,070"
"2017-03-13 04:00",CMSPool,"2,024"
"2017-03-13 04:00",PhEDEx,363
"2017-03-13 04:00",LCGAdmin,335
"2017-03-13 04:00",LIGO,8
"2017-03-13 04:00",Others,0
"2017-03-13 05:00",CMSProd,"3,060"
"2017-03-13 05:00",CMSPool,"2,833"
"2017-03-13 05:00",PhEDEx,354
"2017-03-13 05:00",LCGAdmin,327
"2017-03-13 05:00",LIGO,8
"2017-03-13 05:00",Others,0
"2017-03-13 06:00",CMSProd,"3,186"
"2017-03-13 06:00",CMSPool,"11,599"
"2017-03-13 06:00",PhEDEx,326
"2017-03-13 06:00",LCGAdmin,278
"2017-03-13 06:00",LIGO,8
"2017-03-13 06:00",Others,0
