Timeline,filters,Count
2017-03-11 06:00,Others,0
2017-03-11 07:00,CMSProd,3945
2017-03-11 07:00,CMSPool,3550
2017-03-11 07:00,PhEDEx,471
2017-03-11 07:00,LCGAdmin,321
2017-03-11 07:00,LIGO,4
2017-03-11 07:00,Others,0
2017-03-11 08:00,CMSProd,2895
2017-03-11 08:00,CMSPool,3712
2017-03-11 08:00,PhEDEx,462
2017-03-11 08:00,LCGAdmin,347
2017-03-11 08:00,LIGO,8
2017-03-11 08:00,Others,0
2017-03-11 09:00,CMSProd,4423
2017-03-11 09:00,CMSPool,3408
2017-03-11 09:00,PhEDEx,265
2017-03-11 09:00,LCGAdmin,307
2017-03-11 09:00,LIGO,4
2017-03-11 09:00,Others,0
2017-03-11 10:00,CMSProd,3847
2017-03-11 10:00,CMSPool,2599
2017-03-11 10:00,PhEDEx,297
2017-03-11 10:00,LCGAdmin,316
2017-03-11 10:00,LIGO,8
2017-03-11 10:00,Others,0
2017-03-11 11:00,CMSProd,6229
2017-03-11 11:00,CMSPool,3877
2017-03-11 11:00,PhEDEx,296
2017-03-11 11:00,LCGAdmin,310
2017-03-11 11:00,LIGO,194
2017-03-11 11:00,Others,0
2017-03-11 12:00,CMSProd,3813
2017-03-11 12:00,CMSPool,5423
2017-03-11 12:00,PhEDEx,417
2017-03-11 12:00,LCGAdmin,323
2017-03-11 12:00,LIGO,343
2017-03-11 12:00,Others,0
2017-03-11 13:00,CMSProd,3388
2017-03-11 13:00,CMSPool,3997
2017-03-11 13:00,PhEDEx,147
2017-03-11 13:00,LCGAdmin,310
2017-03-11 13:00,LIGO,121
2017-03-11 13:00,Others,0
2017-03-11 14:00,CMSProd,3763
2017-03-11 14:00,CMSPool,3718
2017-03-11 14:00,PhEDEx,496
2017-03-11 14:00,LCGAdmin,301
2017-03-11 14:00,LIGO,27
2017-03-11 14:00,Others,0
2017-03-11 15:00,CMSProd,4087
2017-03-11 15:00,CMSPool,4159
2017-03-11 15:00,PhEDEx,188
2017-03-11 15:00,LCGAdmin,345
2017-03-11 15:00,LIGO,8
2017-03-11 15:00,Others,0
2017-03-11 16:00,CMSProd,4489
2017-03-11 16:00,CMSPool,3368
2017-03-11 16:00,PhEDEx,189
2017-03-11 16:00,LCGAdmin,332
2017-03-11 16:00,LIGO,48
2017-03-11 16:00,Others,0
2017-03-11 17:00,CMSProd,3705
2017-03-11 17:00,CMSPool,3680
2017-03-11 17:00,PhEDEx,191
2017-03-11 17:00,LCGAdmin,329
2017-03-11 17:00,LIGO,102
2017-03-11 17:00,Others,0
2017-03-11 18:00,CMSProd,3437
2017-03-11 18:00,CMSPool,8682
2017-03-11 18:00,PhEDEx,184
2017-03-11 18:00,LCGAdmin,343
2017-03-11 18:00,LIGO,17
2017-03-11 18:00,Others,0
2017-03-11 19:00,CMSProd,4558
2017-03-11 19:00,CMSPool,7220
2017-03-11 19:00,PhEDEx,206
2017-03-11 19:00,LCGAdmin,317
2017-03-11 19:00,LIGO,27
2017-03-11 19:00,Others,0
2017-03-11 20:00,CMSProd,4637
2017-03-11 20:00,CMSPool,3831
2017-03-11 20:00,PhEDEx,151
2017-03-11 20:00,LCGAdmin,345
2017-03-11 20:00,LIGO,7544
2017-03-11 20:00,Others,0
2017-03-11 21:00,CMSProd,4886
2017-03-11 21:00,CMSPool,4084
2017-03-11 21:00,PhEDEx,161
2017-03-11 21:00,LCGAdmin,299
2017-03-11 21:00,LIGO,766
2017-03-11 21:00,Others,0
2017-03-11 22:00,CMSProd,4743
2017-03-11 22:00,CMSPool,1899
2017-03-11 22:00,PhEDEx,205
2017-03-11 22:00,LCGAdmin,344
2017-03-11 22:00,LIGO,9
2017-03-11 22:00,Others,0
2017-03-11 23:00,CMSProd,5094
2017-03-11 23:00,CMSPool,1640
2017-03-11 23:00,PhEDEx,259
2017-03-11 23:00,LCGAdmin,311
2017-03-11 23:00,LIGO,9
2017-03-11 23:00,Others,0
2017-03-12 00:00,CMSProd,6050
2017-03-12 00:00,CMSPool,2372
2017-03-12 00:00,PhEDEx,290
2017-03-12 00:00,LCGAdmin,252
2017-03-12 00:00,LIGO,4
2017-03-12 00:00,Others,0
2017-03-12 01:00,CMSProd,4329
2017-03-12 01:00,CMSPool,2988
2017-03-12 01:00,PhEDEx,296
2017-03-12 01:00,LCGAdmin,288
2017-03-12 01:00,LIGO,4
2017-03-12 01:00,Others,0
2017-03-12 03:00,CMSProd,2970
2017-03-12 03:00,CMSPool,1552
2017-03-12 03:00,PhEDEx,187
2017-03-12 03:00,LCGAdmin,327
2017-03-12 03:00,LIGO,8
2017-03-12 03:00,Others,0
2017-03-12 04:00,CMSProd,3407
2017-03-12 04:00,CMSPool,1637
2017-03-12 04:00,PhEDEx,307
2017-03-12 04:00,LCGAdmin,285
2017-03-12 04:00,LIGO,8
2017-03-12 04:00,Others,0
2017-03-12 05:00,CMSProd,3355
2017-03-12 05:00,CMSPool,2077
2017-03-12 05:00,PhEDEx,273
2017-03-12 05:00,LCGAdmin,302
2017-03-12 05:00,LIGO,8
2017-03-12 05:00,Others,0
2017-03-12 06:00,CMSProd,3600
2017-03-12 06:00,CMSPool,5301
2017-03-12 06:00,PhEDEx,229
2017-03-12 06:00,LCGAdmin,306
2017-03-12 06:00,LIGO,8
2017-03-12 06:00,Others,0
2017-03-12 07:00,CMSProd,2949
2017-03-12 07:00,CMSPool,5882
2017-03-12 07:00,PhEDEx,305
2017-03-12 07:00,LCGAdmin,325
2017-03-12 07:00,LIGO,8
2017-03-12 07:00,Others,0
2017-03-12 08:00,CMSProd,2757
2017-03-12 08:00,CMSPool,1691
2017-03-12 08:00,PhEDEx,330
2017-03-12 08:00,LCGAdmin,308
2017-03-12 08:00,LIGO,8
2017-03-12 08:00,Others,0
2017-03-12 09:00,CMSProd,2857
2017-03-12 09:00,CMSPool,3956
2017-03-12 09:00,PhEDEx,185
2017-03-12 09:00,LCGAdmin,277
2017-03-12 09:00,LIGO,8
2017-03-12 09:00,Others,0
2017-03-12 10:00,CMSProd,3155
2017-03-12 10:00,CMSPool,4345
2017-03-12 10:00,PhEDEx,325
2017-03-12 10:00,LCGAdmin,339
2017-03-12 10:00,LIGO,0
2017-03-12 10:00,Others,0
2017-03-12 11:00,CMSProd,3335
2017-03-12 11:00,CMSPool,5931
2017-03-12 11:00,PhEDEx,250
2017-03-12 11:00,LCGAdmin,323
2017-03-12 11:00,LIGO,8
2017-03-12 11:00,Others,0
2017-03-12 12:00,CMSProd,3337
2017-03-12 12:00,CMSPool,8069
2017-03-12 12:00,PhEDEx,331
2017-03-12 12:00,LCGAdmin,329
2017-03-12 12:00,LIGO,8
2017-03-12 12:00,Others,0
2017-03-12 13:00,CMSProd,3187
2017-03-12 13:00,CMSPool,9195
2017-03-12 13:00,PhEDEx,335
2017-03-12 13:00,LCGAdmin,330
2017-03-12 13:00,LIGO,8
2017-03-12 13:00,Others,0
2017-03-12 14:00,CMSProd,3678
2017-03-12 14:00,CMSPool,3935
2017-03-12 14:00,PhEDEx,253
2017-03-12 14:00,LCGAdmin,340
2017-03-12 14:00,LIGO,8
2017-03-12 14:00,Others,0
2017-03-12 15:00,CMSProd,3017
2017-03-12 15:00,CMSPool,7612
2017-03-12 15:00,PhEDEx,255
2017-03-12 15:00,LCGAdmin,341
2017-03-12 15:00,LIGO,8
2017-03-12 15:00,Others,0
2017-03-12 16:00,CMSProd,2264
2017-03-12 16:00,CMSPool,6354
2017-03-12 16:00,PhEDEx,268
2017-03-12 16:00,LCGAdmin,327
2017-03-12 16:00,LIGO,4
2017-03-12 16:00,Others,0
2017-03-12 17:00,CMSProd,2008
2017-03-12 17:00,CMSPool,2722
2017-03-12 17:00,PhEDEx,301
2017-03-12 17:00,LCGAdmin,323
2017-03-12 17:00,LIGO,131
2017-03-12 17:00,Others,0
2017-03-12 18:00,CMSProd,1963
2017-03-12 18:00,CMSPool,2158
2017-03-12 18:00,PhEDEx,234
2017-03-12 18:00,LCGAdmin,312
2017-03-12 18:00,LIGO,240
2017-03-12 18:00,Others,0
2017-03-12 19:00,CMSProd,1622
2017-03-12 19:00,CMSPool,3399
2017-03-12 19:00,PhEDEx,232
2017-03-12 19:00,LCGAdmin,330
2017-03-12 19:00,LIGO,42
2017-03-12 19:00,Others,0
2017-03-12 20:00,CMSProd,1521
2017-03-12 20:00,CMSPool,1288
2017-03-12 20:00,PhEDEx,268
2017-03-12 20:00,LCGAdmin,332
2017-03-12 20:00,LIGO,8
2017-03-12 20:00,Others,0
2017-03-12 21:00,CMSProd,1131
2017-03-12 21:00,CMSPool,2112
2017-03-12 21:00,PhEDEx,226
2017-03-12 21:00,LCGAdmin,338
2017-03-12 21:00,LIGO,4
2017-03-12 21:00,Others,0
2017-03-12 22:00,CMSProd,7121
2017-03-12 22:00,CMSPool,6033
2017-03-12 22:00,PhEDEx,225
2017-03-12 22:00,LCGAdmin,310
2017-03-12 22:00,LIGO,12
2017-03-12 22:00,Others,0
2017-03-12 23:00,CMSProd,3394
2017-03-12 23:00,CMSPool,2891
2017-03-12 23:00,PhEDEx,281
2017-03-12 23:00,LCGAdmin,300
2017-03-12 23:00,LIGO,8
2017-03-12 23:00,Others,0
2017-03-13 00:00,CMSProd,7906
2017-03-13 00:00,CMSPool,3977
2017-03-13 00:00,PhEDEx,583
2017-03-13 00:00,LCGAdmin,335
2017-03-13 00:00,LIGO,8
2017-03-13 00:00,Others,0
2017-03-13 01:00,CMSProd,4995
2017-03-13 01:00,CMSPool,6160
2017-03-13 01:00,PhEDEx,283
2017-03-13 01:00,LCGAdmin,333
2017-03-13 01:00,LIGO,4
2017-03-13 01:00,Others,0
2017-03-13 02:00,CMSProd,3098
2017-03-13 02:00,CMSPool,3139
2017-03-13 02:00,PhEDEx,271
2017-03-13 02:00,LCGAdmin,287
2017-03-13 02:00,LIGO,12
2017-03-13 02:00,Others,0
2017-03-13 03:00,CMSProd,3718
2017-03-13 03:00,CMSPool,808
2017-03-13 03:00,PhEDEx,387
2017-03-13 03:00,LCGAdmin,313
2017-03-13 03:00,LIGO,0
2017-03-13 03:00,Others,0
2017-03-13 04:00,CMSProd,3070
2017-03-13 04:00,CMSPool,2024
2017-03-13 04:00,PhEDEx,363
2017-03-13 04:00,LCGAdmin,335
2017-03-13 04:00,LIGO,8
2017-03-13 04:00,Others,0
2017-03-13 05:00,CMSProd,3060
2017-03-13 05:00,CMSPool,2833
2017-03-13 05:00,PhEDEx,354
2017-03-13 05:00,LCGAdmin,327
2017-03-13 05:00,LIGO,8
2017-03-13 05:00,Others,0
2017-03-13 06:00,CMSProd,3186
2017-03-13 06:00,CMSPool,11599
2017-03-13 06:00,PhEDEx,326
2017-03-13 06:00,LCGAdmin,278
2017-03-13 06:00,LIGO,8
2017-03-13 06:00,Others,0
2017-03-13 07:00,CMSProd,3178
2017-03-13 07:00,CMSPool,2837
2017-03-13 07:00,PhEDEx,291
2017-03-13 07:00,LCGAdmin,326
2017-03-13 07:00,LIGO,8
2017-03-13 07:00,Others,0
2017-03-13 08:00,CMSProd,4356
2017-03-13 08:00,CMSPool,3321
2017-03-13 08:00,PhEDEx,701
2017-03-13 08:00,LCGAdmin,341
2017-03-13 08:00,LIGO,8
2017-03-13 08:00,Others,0
2017-03-13 09:00,CMSProd,5918
2017-03-13 09:00,CMSPool,6682
2017-03-13 09:00,PhEDEx,397
2017-03-13 09:00,LCGAdmin,325
2017-03-13 09:00,LIGO,8
2017-03-13 09:00,Others,0
2017-03-13 10:00,CMSProd,5186
2017-03-13 10:00,CMSPool,2713
2017-03-13 10:00,PhEDEx,216
2017-03-13 10:00,LCGAdmin,329
2017-03-13 10:00,LIGO,0
2017-03-13 10:00,Others,0
2017-03-13 11:00,CMSProd,11792
2017-03-13 11:00,CMSPool,2319
2017-03-13 11:00,PhEDEx,1093
2017-03-13 11:00,LCGAdmin,344
2017-03-13 11:00,LIGO,12
2017-03-13 11:00,Others,0
2017-03-13 12:00,CMSProd,5867
2017-03-13 12:00,CMSPool,7216
2017-03-13 12:00,PhEDEx,350
2017-03-13 12:00,LCGAdmin,330
2017-03-13 12:00,LIGO,4
2017-03-13 12:00,Others,0
2017-03-13 13:00,CMSProd,4434
2017-03-13 13:00,CMSPool,7489
2017-03-13 13:00,PhEDEx,242
